                  st_astext                   
----------------------------------------------
 POINT(1 8)
 POINT(2 2.5)
 POINT(3 4)
 POINT(1.29289321881345 2.08578643762691)
 POINT(1.39247962823049 2.04453639621833)
 POINT(1.35913547665487 6.07740642996462)
 POINT(1.41801960972814 6.82792156108742)
 POINT(2 2.5)
 POINT(1.5 1.5)
 POINT(2 1.55555555555556)
 POINT(1.33333333333333 2.66666666666667)
 POINT(-0.0476190476190476 0.952380952380952)
 POINT(0.296296296296296 1.07407407407407)
 POINT EMPTY
 POINT EMPTY
 POINT EMPTY
 POINT EMPTY
 POINT EMPTY
 POINT EMPTY
 POINT EMPTY
 POINT(0.5 1)
 POINT(-0.5 1.5)
 POINT(0.5 1)
 POINT(0.468286175962153 0.892979545106587)
 POINT(0.63291752267269 1.07561315333729)
 POINT(0.5 0.648840763297213)
 POINT(0.707106781186548 0.5)
 POINT(97.1679903604833 104.965821887125)
 POINT(3.74008709239085 2.93042675289837)
 POINT(1.5881678112549 2.3498886277938)
 POINT(1.44876451060025 2.236227788801)
 POINT(1.45362156080459 2.2371235451155)
 POINT(1.97116824031294 2.02883175968706)
 POINT(1.73865815938552 2.30162596753514)
 POINT(1.97116824031294 2.02883175968706)
 POINT(4.51030226392046 7.30155199469744)
(36 rows)

